Period,realgdp,pop,unemp,infl
1959-01-01,2710.349,177.146,5.8,0.0
1959-04-01,2778.801,177.83,5.1,2.34
1959-07-01,2775.488,178.657,5.3,2.74
1959-10-01,2785.204,179.386,5.6,0.27
1960-01-01,2847.699,180.007,5.2,2.31
1960-04-01,2834.39,180.671,5.2,0.14
1960-07-01,2839.022,181.528,5.6,2.7
1960-10-01,2802.616,182.287,6.3,1.21
1961-01-01,2819.264,182.992,6.8,-0.4
1961-04-01,2872.005,183.691,7.0,1.47
1961-07-01,2918.419,184.524,6.8,0.8
1961-10-01,2977.83,185.242,6.2,0.8
1962-01-01,3031.241,185.874,5.6,2.26
1962-04-01,3064.709,186.538,5.5,0.13
1962-07-01,3093.047,187.323,5.6,2.11
1962-10-01,3100.563,188.013,5.5,0.79
1963-01-01,3141.087,188.58,5.8,0.53
1963-04-01,3180.447,189.242,5.7,2.75
1963-07-01,3240.332,190.028,5.5,0.78
1963-10-01,3264.967,190.668,5.6,2.46
1964-01-01,3338.246,191.245,5.5,0.13
1964-04-01,3376.587,191.889,5.2,0.9
1964-07-01,3422.469,192.631,5.0,1.29
1964-10-01,3431.957,193.223,5.0,2.05
1965-01-01,3516.251,193.709,4.9,1.28
1965-04-01,3563.96,194.303,4.7,2.54
1965-07-01,3636.285,194.997,4.4,0.89
1965-10-01,3724.014,195.539,4.1,2.9
1966-01-01,3815.423,195.999,3.9,4.99
1966-04-01,3828.124,196.56,3.8,2.1
1966-07-01,3853.301,197.207,3.8,4.9
1966-10-01,3884.52,197.736,3.7,0.61
1967-01-01,3918.74,198.206,3.8,2.42
1967-04-01,3919.556,198.712,3.8,3.61
1967-07-01,3950.826,199.311,3.8,3.58
1967-10-01,3980.97,199.808,3.9,4.72
1968-01-01,4063.013,200.208,3.7,3.5
1968-04-01,4131.998,200.706,3.5,5.77
1968-07-01,4160.267,201.29,3.5,4.56
1968-10-01,4178.293,201.76,10.2,4.51
1969-01-01,4244.1,202.161,3.4,6.67
1969-04-01,4256.46,202.677,3.4,5.47
1969-07-01,4283.378,203.302,3.6,5.4
1969-10-01,4263.261,203.849,3.6,6.38
1970-01-01,4256.573,204.401,4.2,6.28
1970-04-01,4264.289,205.052,4.8,4.13
1970-07-01,4302.259,205.788,5.2,5.11
1970-10-01,4256.637,206.466,5.8,5.04
1971-01-01,4374.016,207.065,5.9,2.0
1971-04-01,4398.829,207.661,5.9,4.96
1971-07-01,4433.943,208.345,6.0,2.94
1971-10-01,4446.264,208.917,6.0,2.92
1972-01-01,4525.769,209.386,5.8,2.9
1972-04-01,4633.101,209.896,5.7,2.88
1972-07-01,4677.503,210.479,5.6,3.81
1972-10-01,4754.546,210.985,5.3,4.71
1973-01-01,4876.166,211.42,5.0,9.26
1973-04-01,4932.571,211.909,4.9,4.55
1973-07-01,4906.252,212.475,4.8,12.47
1973-10-01,4953.05,212.932,4.8,10.39
1974-01-01,4909.617,213.361,5.1,10.96
1974-04-01,4922.188,213.854,5.2,9.86
1974-07-01,4873.52,214.451,5.6,13.56
1974-10-01,4854.34,214.931,6.6,10.07
1975-01-01,4795.295,215.353,8.2,5.32
1975-04-01,4831.942,215.973,8.9,7.48
1975-07-01,4913.328,216.587,8.5,6.61
1975-10-01,4977.511,217.095,8.3,6.5
1976-01-01,5090.663,217.528,7.7,2.14
1976-04-01,5128.947,218.035,7.6,6.37
1976-07-01,5154.072,218.644,7.7,6.27
1976-10-01,5191.499,219.179,7.8,5.49
1977-01-01,5251.762,219.684,7.5,8.76
1977-04-01,5356.131,220.239,7.1,5.3
1977-07-01,5451.921,220.904,6.9,5.23
1977-10-01,5450.793,221.477,6.6,7.08
1978-01-01,5469.405,221.991,6.3,7.58
1978-04-01,5684.569,222.585,6.0,9.89
1978-07-01,5740.3,223.271,6.0,9.65
1978-10-01,5816.222,223.865,5.9,8.26
1979-01-01,5825.949,224.438,5.9,12.08
1979-04-01,5831.418,225.055,5.7,13.37
1979-07-01,5873.335,225.801,5.9,11.88
1979-10-01,5889.495,226.451,5.9,14.62
1980-01-01,5908.467,227.061,6.3,14.6
1980-04-01,5787.373,227.726,7.3,8.32
1980-07-01,5776.617,228.417,7.7,10.04
1980-10-01,5883.46,228.937,7.4,11.64
1981-01-01,6005.717,229.403,7.4,8.62
1981-04-01,5957.795,229.966,7.4,10.63
1981-07-01,6030.184,230.641,7.4,8.22
1981-10-01,5955.062,231.157,8.2,4.26
1982-01-01,5857.333,231.645,8.8,2.53
1982-04-01,5889.074,232.188,9.4,10.39
1982-07-01,5866.37,232.816,9.9,2.45
1982-10-01,5871.001,233.322,10.7,-0.82
1983-01-01,5944.02,233.781,10.4,3.66
1983-04-01,6077.619,234.307,10.1,4.03
1983-07-01,6197.468,234.907,9.4,3.99
1983-10-01,6325.574,235.385,8.5,5.13
1984-01-01,6448.264,235.839,7.9,4.67
1984-04-01,6559.594,236.348,7.5,3.09
1984-07-01,6623.343,236.976,7.4,3.82
1984-10-01,6677.264,237.468,7.3,2.28
1985-01-01,6740.275,237.9,7.3,4.89
1985-04-01,6797.344,238.466,7.3,2.61
1985-07-01,6903.523,239.113,7.2,2.96
1985-10-01,6955.918,239.638,7.0,5.13
1986-01-01,7022.757,240.094,7.0,-4.39
1986-04-01,7050.969,240.651,7.2,2.93
1986-07-01,7118.95,241.274,7.0,2.55
1986-10-01,7153.359,241.784,6.8,4.33
1987-01-01,7193.019,242.252,6.6,4.64
1987-04-01,7269.51,242.804,6.3,3.89
1987-07-01,7332.558,243.446,6.0,4.2
1987-10-01,7458.022,243.981,5.9,3.46
1988-01-01,7496.6,244.445,5.7,4.12
1988-04-01,7592.881,245.021,5.5,4.41
1988-07-01,7632.082,245.693,5.5,4.7
1988-10-01,7733.991,246.224,5.3,4.31
1989-01-01,7806.603,246.721,5.2,6.22
1989-04-01,7865.016,247.342,5.2,4.52
1989-07-01,7927.393,248.067,5.3,2.88
1989-10-01,7944.697,248.659,5.4,6.64
1990-01-01,8027.693,249.306,5.3,4.37
1990-04-01,8059.598,250.132,5.3,4.93
1990-07-01,8059.476,251.057,5.7,8.79
1990-10-01,7988.864,251.889,6.1,3.88
1991-01-01,7950.164,252.643,6.6,1.19
1991-04-01,8003.822,253.493,6.8,3.24
